R			HF		SAPT0		SAPT2		SAPT2+	SAPT2+(3)	SAPT2+3	SAPT2+(CCD)	SAPT2+(3)(CCD)	SAPT2+3(CCD)
2.5	173.2202021	70.6459426	102.2811263	90.7136697	106.6890434	105.7044196	94.1786337	110.1540074	109.1693833
2.6	111.8430775	29.5682213	51.8195109	42.3307410	53.3119375	52.7154204	45.0830644	56.0642606	55.4677435
2.7	71.7763711	5.4759689	21.0244937	13.3029632	20.7954349	20.4344273	15.5085809	23.0010527	22.6400448
2.8	45.7371682	-7.9422376	2.8955222	-3.3513213	1.7252977	1.5079450	-1.5687467	3.5078721	3.2905196
2.9	28.9457251	-14.7238543	-7.1576015	-12.1909201	-8.7745883	-8.9041211	-10.7385944	-7.3222626	-7.4517951
3.0	18.2294506	-17.4706654	-12.1584789	-16.2036871	-13.9209770	-13.9969227	-15.0114412	-12.7287311	-12.8046770
3.1	11.4620143	-17.8679477	-14.1027154	-17.3497504	-15.8368084	-15.8802680	-16.3640877	-14.8511459	-14.8946052
3.2	7.2187575	-16.9983680	-14.2948421	-16.9009047	-15.9082758	-15.9322657	-16.0806913	-15.0880625	-15.1120523
3.3	4.5584152	-15.5373102	-13.5652756	-15.6587111	-15.0164696	-15.0289857	-14.9720440	-14.3298024	-14.3423186
3.4	2.8749088	-13.8836903	-12.4193465	-14.1038550	-13.6968457	-13.7027568	-13.5257780	-13.1187687	-13.1246801
3.5	1.7902091	-12.2537937	-11.1454405	-12.5041568	-12.2546402	-12.2568721	-12.0149834	-11.7654671	-11.7676988
3.6	1.0758084	-10.7495709	-9.8939986	-10.9931905	-10.8488139	-10.8490931	-10.5772662	-10.4328893	-10.4331685
3.7	0.5968018	-9.4066661	-8.7331916	-9.6254757	-9.5510176	-9.5503414	-9.2702559	-9.1957979	-9.1951217
3.8	0.2740670	-8.2261379	-7.6859037	-8.4129567	-8.3847164	-8.3836429	-8.1083185	-8.0800780	-8.0790045
3.9	0.0601483	-7.1938596	-6.7526888	-7.3474873	-7.3494941	-7.3483224	-7.0852067	-7.0872135	-7.0860418
4.0	-0.0753220	-6.2914521	-5.9251050	-6.4137401	-6.4352123	-6.4340928	-6.1870958	-6.2085680	-6.2074486
4.1	-0.1537166	-5.5015560	-5.1925945	-5.5957295	-5.6293748	-5.6283734	-5.3991974	-5.4328423	-5.4318410
4.2	-0.1914980	-4.8097353	-4.5454427	-4.8794702	-4.9203507	-4.9194881	-4.7084855	-4.7493660	-4.7485034
4.3	-0.2018765	-4.2044493	-3.9754338	-4.2533887	-4.2981643	-4.2974383	-4.1041622	-4.1489378	-4.1482118
4.4	-0.1952513	-3.6761822	-3.4754274	-3.7077033	-3.7541243	-3.7535221	-3.5770755	-3.6234963	-3.6228941
4.5	-0.1793441	-3.2165623	-3.0387696	-3.2336816	-3.2802460	-3.2797507	-3.1190059	-3.1655703	-3.1650754
4.6	-0.1593102	-2.8176824	-2.6588081	-2.8230314	-2.8687533	-2.8683484	-2.7220836	-2.7678055	-2.7674006
4.7	-0.1382029	-2.4719458	-2.3288715	-2.4677849	-2.5120358	-2.5117055	-2.3786877	-2.4229386	-2.4226083
4.8	-0.1175214	-2.1721322	-2.0424283	-2.1603826	-2.2027804	-2.2025116	-2.0815463	-2.1239441	-2.1236753
4.9	-0.0978070	-1.9116130	-1.7933651	-1.8938938	-1.9342273	-1.9340083	-1.8239676	-1.8643011	-1.8640821
5.0	-0.0791871	-1.6845949	-1.5762772	-1.6622611	-1.7004365	-1.7002577	-1.6000934	-1.6382685	-1.6380900
5.1	-0.0616760	-1.4861843	-1.3865664	-1.4603637	-1.4963654	-1.4962193	-1.4049700	-1.4409715	-1.4408256
5.2	-0.0453538	-1.3123769	-1.2204541	-1.2840025	-1.3178676	-1.3177482	-1.2345379	-1.2684030	-1.2682836
5.3	-0.0303813	-1.1599210	-1.0748622	-1.1297601	-1.1615597	-1.1614614	-1.0854984	-1.1172979	-1.1171996
5.4	-0.0169628	-1.0261601	-0.9472693	-0.9948409	-1.0246654	-1.0245845	-0.9551555	-0.9849797	-0.9848992
5.5	-0.0052820	-0.9088708	-0.8355578	-0.8769028	-0.9048547	-0.9047880	-0.8412521	-0.8692037	-0.8691370
5.6	0.0045459	-0.8061358	-0.7378942	-0.7739306	-0.8001164	-0.8000614	-0.7418442	-0.7680300	-0.7679751
5.7	0.0125162	-0.7162391	-0.6526292	-0.6841250	-0.7086529	-0.7086071	-0.6551939	-0.6797217	-0.6796760
5.8	0.0187076	-0.6376393	-0.5782757	-0.6058759	-0.6288511	-0.6288130	-0.5797454	-0.6027205	-0.6026824
5.9	0.0232788	-0.5689316	-0.5134726	-0.5377215	-0.5592457	-0.5592138	-0.5140805	-0.5356047	-0.5355731
6.0	0.0264391	-0.5088420	-0.4569825	-0.4783394	-0.4985098	-0.4984834	-0.4569164	-0.4770868	-0.4770602
6.1	0.0284160	-0.4562293	-0.4076959	-0.4265504	-0.4454588	-0.4454365	-0.4071065	-0.4260146	-0.4259923
6.2	0.0294493	-0.4100701	-0.3646145	-0.3812984	-0.3990304	-0.3990116	-0.3636237	-0.3813558	-0.3813370
6.3	0.0297382	-0.3694889	-0.3268854	-0.3416813	-0.3583178	-0.3583020	-0.3255915	-0.3422277	-0.3422119
6.4	0.0294816	-0.3337029	-0.2937460	-0.3068959	-0.3225117	-0.3224983	-0.2922276	-0.3078434	-0.3078300
6.5	0.0288335	-0.3020531	-0.2645541	-0.2762654	-0.2909307	-0.2909192	-0.2628744	-0.2775397	-0.2775282
