     2,8346   22005,379595   22457,510091   43512482,977200   -43512030,846704   452,130496
     3,0236   15770,809691   16150,379735   43512411,932971   -43512032,362926   452,130496
     3,2125   11171,635136   11491,038847   43512353,046994   -43512033,643283   452,130496
     3,4015    7815,615571    8087,885753   43512306,932708   -43512034,662526   452,130496
     3,5905    5392,415302    5627,616703   43512270,653141   -43512035,451740   452,130496
     3,7795    3660,835471    3866,033076   43512241,272489   -43512036,074884   452,130496
     3,9684    2436,334022    2616,547269   43512216,821393   -43512036,608146   452,130496
     4,1574    1579,695954    1738,762621   43512196,164476   -43512037,097809   452,130496
     4,3464     987,190439    1128,428549   43512178,786076   -43512037,547966   452,130496
     4,5353     582,668662     708,950158   43512164,231194   -43512037,949697   452,130496
     4,7243     311,102506     424,535375   43512151,736162   -43512038,303292   452,130496
     4,9133     132,994434     234,838872   43512140,460128   -43512038,615689   452,130496
     5,1023      19,930633     110,909574   43512129,870466   -43512038,891525   452,130496
     5,2912     -48,554656      32,142347   43512119,828273   -43512039,131270   452,130496
     5,4802     -87,093173     -16,071506   43512110,356117   -43512039,334450   452,130496
     5,6692    -105,985487     -43,867317   43512101,620729   -43512039,502559   452,130496
     5,8582    -112,339249     -58,309298   43512093,669842   -43512039,639890   452,130496
     6,0471    -110,945352     -64,215933   43512086,482119   -43512039,752700   452,130496
     6,2361    -104,979682     -64,837523   43512079,989562   -43512039,847404   452,130496
     6,4251     -96,554857     -62,334374   43512074,149274   -43512039,928790   452,130496
     6,6140     -87,099711     -58,120144   43512068,978868   -43512039,999300   452,130496
     6,8030     -77,568604     -53,103586   43512064,524580   -43512040,059562   452,130496
     6,9920     -68,547058     -47,854906   43512060,801674   -43512040,109523   452,130496
     7,1810     -60,333155     -42,718611   43512057,763949   -43512040,149405   452,130496
     7,3699     -53,028734     -37,889799   43512055,319079   -43512040,180144   452,130496
     7,5589     -46,627598     -33,466201   43512053,364754   -43512040,203357   452,130496
     7,7479     -41,076124     -29,483848   43512051,813319   -43512040,221043   452,130496
     7,9368     -36,299145     -25,941407   43512050,592940   -43512040,235202   452,130496
     8,1258     -32,204908     -22,816423   43512049,635993   -43512040,247508   452,130496
     8,3148     -28,688190     -20,075644   43512048,871670   -43512040,259124   452,130496
     8,5038     -25,640970     -17,681326   43512048,230316   -43512040,270673   452,130496
     8,6927     -22,967442     -15,594911   43512047,654864   -43512040,282333   452,130496
     8,8817     -20,595116     -13,779180   43512047,109936   -43512040,294000   452,130496
     9,0707     -18,476741     -12,199488   43512046,582703   -43512040,305450   452,130496
     9,2597     -16,584120     -10,824416   43512046,076160   -43512040,316456   452,130496
     9,4486     -14,898611      -9,626039   43512045,599431   -43512040,326859   452,130496
     9,6376     -13,403076      -8,579910   43512045,159751   -43512040,336585   452,130496
     9,8266     -12,077854      -7,664873   43512044,758620   -43512040,345639   452,130496
    10,0155     -10,900602      -6,862772   43512044,391908   -43512040,354077   452,130496
    10,2045      -9,848530      -6,158080   43512044,052433   -43512040,361983   452,130496
    10,3935      -8,901163      -5,537563   43512043,733042   -43512040,369442   452,130496
    10,5825      -8,042263      -4,989948   43512043,428845   -43512040,376530   452,130496
    10,7714      -7,260405      -4,505612   43512043,138094   -43512040,383301   452,130496
    10,9604      -6,548353      -4,076333   43512042,861811   -43512040,389791   452,130496
    11,1494      -5,901730      -3,695061   43512042,602685   -43512040,396015   452,130496
    11,3384      -5,317566      -3,355732   43512042,363811   -43512040,401976   452,130496
    11,5273      -4,793115      -3,053134   43512042,147646   -43512040,407665   452,130496
    11,7163      -4,325099      -2,782756   43512041,955412   -43512040,413068   452,130496
    11,9053      -3,909460      -2,540698   43512041,786933   -43512040,418171   452,130496
    12,0942      -3,541426      -2,323574   43512041,640809   -43512040,422957   452,130496
    12,2832      -3,215814      -2,128447   43512041,514780   -43512040,427414   452,130496
    12,4722      -2,927365      -1,952765   43512041,406134   -43512040,431533   452,130496
    12,6612      -2,671068      -1,794300   43512041,312078   -43512040,435310   452,130496
    12,8501      -2,442378      -1,651114   43512041,230010   -43512040,438746   452,130496
    13,0391      -2,237432      -1,521510   43512041,157769   -43512040,441847   452,130496
    13,2281      -2,052707      -1,404006   43512041,093325   -43512040,444625   452,130496
    13,4171      -1,885568      -1,297303   43512041,035361   -43512040,447095   452,130496
    13,6060      -1,733772      -1,200258   43512040,982792   -43512040,449278   452,130496
    13,7950      -1,595495      -1,111865   43512040,934825   -43512040,451194   452,130496
    13,9840      -1,469248      -1,031238   43512040,890878   -43512040,452868   452,130496
    14,1729      -1,353786      -0,957596   43512040,850513   -43512040,454323   452,130496
    14,3619      -1,248055      -0,890243   43512040,813394   -43512040,455583   452,130496
    14,5509      -1,151141      -0,828565   43512040,779246   -43512040,456670   452,130496
    14,7399      -1,062245      -0,772012   43512040,747839   -43512040,457606   452,130496
    14,9288      -0,980657      -0,720097   43512040,718970   -43512040,458410   452,130496
    15,1178      -0,905743      -0,672384   43512040,692459   -43512040,459100   452,130496
    15,3068      -0,836938      -0,628483   43512040,668145   -43512040,459691   452,130496
    15,4958      -0,773729      -0,588047   43512040,645879   -43512040,460196   452,130496
    15,6847      -0,715659      -0,550760   43512040,625528   -43512040,460629   452,130496
    15,8737      -0,662314      -0,516342   43512040,606971   -43512040,460998   452,130496
    16,0627      -0,613322      -0,484541   43512040,590094   -43512040,461314   452,130496
    16,2516      -0,568340      -0,455128   43512040,574794   -43512040,461583   452,130496
    16,4406      -0,527056      -0,427897   43512040,560970   -43512040,461812   452,130496
    16,6296      -0,489185      -0,402663   43512040,548528   -43512040,462007   452,130496
    16,8186      -0,454461      -0,379258   43512040,537375   -43512040,462172   452,130496
    17,0075      -0,422637      -0,357530   43512040,527420   -43512040,462313   452,130496
    17,1965      -0,393482      -0,337340   43512040,518574   -43512040,462432   452,130496
    17,3855      -0,366782      -0,318565   43512040,510749   -43512040,462532   452,130496
    17,5745      -0,342334      -0,301089   43512040,503861   -43512040,462616   452,130496
    17,7634      -0,319949      -0,284811   43512040,497826   -43512040,462687   452,130496
    17,9524      -0,299451      -0,269635   43512040,492563   -43512040,462747   452,130496
    18,1414      -0,280675      -0,255477   43512040,487995   -43512040,462796   452,130496
    18,3303      -0,263477      -0,242250   43512040,484065   -43512040,462838   452,130496
    18,5193      -0,247694      -0,229894   43512040,480673   -43512040,462872   452,130496
    18,7083      -0,233210      -0,218343   43512040,477768   -43512040,462901   452,130496
    18,8973      -0,219902      -0,207535   43512040,475291   -43512040,462924   452,130496
    19,0862      -0,207662      -0,197415   43512040,473191   -43512040,462943   452,130496
    19,2752      -0,196389      -0,187931   43512040,471417   -43512040,462959   452,130496
    19,4642      -0,185992      -0,179039   43512040,469925   -43512040,462972   452,130496
    19,6532      -0,176388      -0,170695   43512040,468676   -43512040,462983   452,130496
    19,8421      -0,167504      -0,162861   43512040,467634   -43512040,462991   452,130496
    20,0311      -0,159273      -0,155502   43512040,466769   -43512040,462998   452,130496
    20,2201      -0,151633      -0,148583   43512040,466054   -43512040,463004   452,130496
    20,4090      -0,144531      -0,142075   43512040,465464   -43512040,463008   452,130496
    20,5980      -0,137918      -0,135950   43512040,464980   -43512040,463012   452,130496
    20,7870      -0,131750      -0,130181   43512040,464584   -43512040,463015   452,130496
    20,9760      -0,125990      -0,124745   43512040,464261   -43512040,463017   452,130496
    21,1649      -0,120601      -0,119621   43512040,463999   -43512040,463019   452,130496
    21,3539      -0,115553      -0,114786   43512040,463788   -43512040,463020   452,130496
    21,5429      -0,110819      -0,110223   43512040,463617   -43512040,463021   452,130496
                                                  
