distancia em bohr //  energia sem correção de ,cp //   energia com correção cp // correção de monomeros // energias em cm^-1 // Borh (a0) =	0,5291772083Å
    18,5193      -0,060106      -0,057860   0,000043     0,002203   269,186669
    18,7083      -0,056544      -0,054633   0,000034     0,001877   269,186669
    18,8973      -0,053307      -0,051672   0,000027     0,001609   269,186669
    19,0862      -0,050363      -0,048953   0,000021     0,001389   269,186669
    19,2752      -0,047681      -0,046455   0,000016     0,001210   269,186669
    19,4642      -0,045236      -0,044159   0,000013     0,001064   269,186669
    19,6532      -0,043003      -0,042048   0,000010     0,000945   269,186669
    19,8421      -0,040963      -0,040106   0,000008     0,000849   269,186669
    20,0311      -0,039096      -0,038318   0,000006     0,000772   269,186669
    20,2201      -0,037386      -0,036671   0,000005     0,000710   269,186669
    20,4090      -0,035818      -0,035154   0,000003     0,000660   269,186669
    20,5980      -0,034380      -0,033757   0,000003     0,000621   269,186669
    20,7870      -0,033059      -0,032468   0,000002     0,000589   269,186669
    20,9760      -0,031845      -0,031279   0,000002     0,000564   269,186669
    21,1649      -0,030728      -0,030183   0,000001     0,000544   269,186669
    21,3539      -0,029700      -0,029171   0,000001     0,000528   269,186669
    21,5429      -0,028753      -0,028237   0,000001     0,000516   269,186669
