2.5			77.05860026
2.6			52.18928637
2.7			34.72201724
2.8			22.57348815
2.9			14.220405
3			8.554991732
3.1			4.776416866
3.2			2.309703547
3.3			0.744503877
3.4			-0.20871143
3.5			-0.753483638
3.6			-1.030767794
3.7			-1.137708592
3.8			-1.139885504
3.9			-1.081108882
4			-0.99022281
4.1			-0.885731037
4.2			-0.778790239
4.3			-0.675931151
4.4			-0.581235483
4.5			-0.496063804
4.6			-0.420688229
4.7			-0.355108757
4.8			-0.298509047
4.9			-0.250072757
5			-0.20871143
5.1			-0.173608726
5.2			-0.143948301
5.3			-0.119185928
5.4			-0.097961036
5.5			-0.080273627
5.6			-0.065307358
5.7			-0.052790114
5.8			-0.042449782
5.9			-0.033742135
6			-0.026122943
6.1			-0.020136435
6.2			-0.014966269
6.3			-0.010612446
6.4			-0.007074964
6.5			-0.00408171
6.6			-0.001632684
6.7			0.000272114
6.8			0.001904798
6.9			0.003265368
7			0.004353824
7.1			0.005170166
7.2			0.005714394
7.3			0.006258622
7.4			0.006530736
7.5			0.00680285
7.6			0.007074964
7.7			0.007074964
7.8			0.007074964
7.9			0.007074964
8			0.007074964
8.1			0.007074964
8.2			0.00680285
8.3			0.00680285
8.4			0.006530736
8.5			0.006258622
8.6			0.005986508
8.7			0.005986508
8.8			0.005714394
8.9			0.00544228
9			0.005170166
9.1			0.004898052
9.2			0.004898052
9.3			0.004625938
9.4			0.004353824
9.5			0.00408171
9.6			0.003809596
9.7			0.003809596
9.8			0.003537482
9.9			0.003265368
10			0.003265368
10.1			0.002993254
10.2			0.00272114
10.3			0.00272114
10.4			0.002449026
10.5			0.002176912
